IncidentType,Location,ReportedTime,IncidentStart,IncidentEnd,CaseNumber,Disposition
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,9/9/2013 1631,9/9/2013 1631,9/9/2013 1631,2013-000976,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : ETHRIDGE HALL,9/10/2013 2221,9/10/2013 2221,9/10/2013 2221,2013-000981,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : ETHRIDGE HALL,9/10/2013 2221,9/10/2013 2221,9/10/2013 2221,2013-000981,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : BRANDON HALL,9/11/2013 0106,9/11/2013 0106,9/11/2013 0106,2013-000983,CLOSED.  CLEARED BY SUMMONS
WARRANT SERVICE,CITY OF OXFORD : PATTERSON AVE,9/11/2013 2207,9/11/2013 2207,9/11/2013 2207,2013-000989,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : ERNST NATURE THEATRE,9/12/2013 2243,9/12/2013 2243,9/12/2013 2243,2013-001006,CLOSED.  CLEARED BY SUMMONS
WARRANT SERVICE,MIAMI UNIVERSITY : OXFORD CAMPUS : POLICE SERVICES CENTER,9/12/2013 2321,9/12/2013 2321,9/12/2013 2321,2013-001005,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : HIGH ST,9/13/2013 0215,9/13/2013 0215,9/13/2013 0215,2013-001007,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,9/14/2013 0127,9/14/2013 0127,9/14/2013 0127,2013-001027,CLOSED.  CLEARED BY ARREST
DISORDERLY CONDUCT,MIAMI UNIVERSITY : OXFORD CAMPUS : SCOTT HALL,9/14/2013 0127,9/14/2013 0127,9/14/2013 0127,2013-001027,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : PRESSER HALL,9/14/2013 0208,9/14/2013 0208,9/14/2013 0208,2013-001028,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,CITY OF OXFORD : HIGH ST,9/14/2013 0309,9/14/2013 0309,9/14/2013 0309,2013-001029,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : BACHELOR HALL,9/14/2013 2222,9/14/2013 2222,9/14/2013 2222,2013-001033,CLOSED.  CLEARED BY ARREST
WARRANT SERVICE,OTHER JURISDICTION,9/16/2013 0033,9/16/2013 0033,9/16/2013 0033,2013-001041,CLOSED.  CLEARED BY ARREST
SEX OFFENSE : RAPE,CITY OF OXFORD : BUSINESS : MCCULLOUGH-HYDE MEMORIAL HOSPITAL,9/16/2013 1320,9/15/2013 0500,9/15/2013 0530,2013-001045,CLOSED
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : COLLINS HALL,9/16/2013 1338,9/16/2013 1338,9/16/2013 1338,2013-001044,CLOSED.  CLEARED BY SUMMONS
SEX OFFENSE : GROSS SEXUAL IMPOSITION,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,9/17/2013 1658,8/26/2013 0000,9/16/2013 0000,2013-001097,OPEN
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : HAYDEN PARK,9/20/2013 0204,9/20/2013 0204,9/20/2013 0204,2013-001054,CLOSED.  CLEARED BY ARREST
ASSAULT,MIAMI UNIVERSITY : OXFORD CAMPUS : RECREATIONAL SPORTS CENTER,9/20/2013 1236,9/7/2013 0230,9/7/2013 0300,2013-001096,CLOSED
DRUG VIOLATION : DRUG PARAPHERNALIA OFFENSES,MIAMI UNIVERSITY : OXFORD CAMPUS : FLOWER HALL,9/20/2013 1454,9/20/2013 1455,9/20/2013 1455,2013-001058,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : MCGUFFEY HALL,9/21/2013 0019,9/21/2013 0019,9/21/2013 0019,2013-001065,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : MCGUFFEY HALL,9/21/2013 0025,9/21/2013 0025,9/21/2013 0025,2013-001066,CLOSED.  CLEARED BY ARREST
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : DENNISON HALL,9/21/2013 1955,9/21/2013 1955,9/21/2013 1955,2013-001074,CLOSED.  CLEARED BY ARREST
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : HEPBURN HALL,9/24/2013 0018,9/24/2013 0018,9/24/2013 0018,2013-001087,CLOSED.  CLEARED BY SUMMONS
TRAFFIC CRASH,CITY OF OXFORD : PATTERSON AVE,9/25/2013 1233,9/25/2013 1210,9/25/2013 1210,2013-001092,OPEN
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : HAVIGHURST HALL,9/27/2013 0029,9/27/2013 0029,9/27/2013 0029,2013-001105,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : POSSESSION OF DRUGS,CITY OF OXFORD : SILVOOR LN,9/27/2013 1651,9/27/2013 1649,9/27/2013 1649,2013-001107,CLOSED.  CLEARED BY SUMMONS
DRUG VIOLATION : POSSESSION OF DRUGS,MIAMI UNIVERSITY : OXFORD CAMPUS : TAPPAN HALL,9/28/2013 0011,9/28/2013 0011,9/28/2013 0011,2013-001113,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : HALL AUDITORIUM,9/28/2013 0035,9/28/2013 0035,9/28/2013 0035,2013-001114,CLOSED.  CLEARED BY SUMMONS
ALCOHOL VIOLATION : OFFENSES INVOLVING UNDERAGE PERSONS,MIAMI UNIVERSITY : OXFORD CAMPUS : FARMER SCHOOL OF BUSINESS,9/28/2013 0134,9/28/2013 0134,9/28/2013 0134,2013-001115,CLOSED.  CLEARED BY SUMMONS
